ID,Length,Masker,Onset,SNR,Speaker,Target,Raw,Responses,N-Listeners,Counts,Confusion,Consistency,Target-Arpabet,Target-IPA,Target-frequency,Confusion-Arpabet,Confusion-IPA,Confusion-frequency,Phoneme-distance
29569,9600,SSN,791735,-5.453,s4,yes,yes|less|nest|nest|blessed|nest|next|nest|mess|less|nest|nest|less|nest,nest|less|mess|blessed|next|yes,14,7 3 1 1 1 1,nest,7,! Y EH S,! j e s,6.23,! N EH S T,! n e s t,4.4,17
29572,12480,SSN,561489,-4.779,s4,premise,friends|friends|friends|graze|friends|praise|friends|friends|friends|friends|braid|friends|friends|prints|friends,friends|graze|braid|prints|praise,15,11 1 1 1 1,friends,11,! P R EH . M IH S,! p ɹ e . m ɪ s,3.3,! F R EH N D Z,! f ɹ e n d z,5.33,40
29574,11244,SSN,863654,-5.168,s4,ranch,brunch|ranch|crouch|branch|branch|branch|ranch|branch|ranch|branch|branch|branch|branch|branch|branch,branch|ranch|brunch|crouch,15,10 3 1 1,branch,10,! R AA N CH,! ɹ ɑ n tʃ,3.32,! B R AA N CH,! b ɹ ɑ n tʃ,4.1,7
29576,14020,SSN,438804,-6.849,s4,scarf,scarf|scar|scar|scarf|scar|scar|scar|scarf|scar|scar|scarf|scar|scar|scarf,scar|scarf,14,9 5,scar,9,! S K AA F,! s k ɑ f,3.76,! S K AA,! s k ɑ,3.6,7
29580,8800,SSN,654911,-5.785,s4,month,rampant|lumping|lump|mumps|lump|lump|monthly|lumpy|month|lumber|rock|lumpy|lump|lump|lump,lump|lumpy|lumping|monthly|month|lumber|mumps|rock|rampant,15,6 2 1 1 1 1 1 1 1,lump,6,! M AH N TH,! m ʌ n θ,5.08,! L AH M P,! l ʌ m p,4.01,30
29583,10560,SSN,39136,-4.605,s4,leaf,weep|bleat|bleak|beneath|bleak|bleak|bleak|leap|bleak|leek|bleak|leaf|in|leak|belief,bleak|leak|bleat|leaf|belief|leap|in|beneath|weep,15,6 2 1 1 1 1 1 1 1,bleak,6,! L IY F,! l i f,4.29,! B L IY K,! b l i k,3.84,17
29584,12800,SSN,204138,-4.234,s4,alive,align|align|alive|line|align|align|malign|malign|align|align|align|align|align|align|align,align|malign|line|alive,15,11 2 1 1,align,11,AX ! L AY V,ə ! l aɪ v,4.82,AX ! L AY N,ə ! l aɪ n,2.86,10
29590,10080,SSN,686380,-5.729,s4,hen,pen|hens|pen|hen|end|hen|ten|pen|pen|hands|hen|pen|pen|hen|pen,pen|hen|end|ten|hands|hens,15,7 4 1 1 1 1,pen,7,! HH EH N,! h e n,3.96,! P EH N,! p e n,4.37,10
29619,12308,BAB4,281358,-2.885,s4,pompous,kin|skin|kin|kin|kin|kin|pins|kin|kin|kin|skins|kin|kin|kin,kin|pins|skins|skin,14,11 1 1 1,kin,11,! P OH M . P AX S,! p ɒ m . p ə s,3.07,! K IH N,! k ɪ n,3.54,51
29626,11200,BAB4,254020,-1.419,s4,midst,midst|mixed|dismissed|mixed|mixed|midst|mitts|designed|mid|mixed|mixed|mixed|mixed|mittens|amidst,mixed|midst|mid|amidst|designed|dismissed|mitts|mittens,15,7 2 1 1 1 1 1 1,mixed,7,! M IH D S T,! m ɪ d s t,3.59,! M IH K S T,! m ɪ k s t,4.54,10
29643,9600,BAB4,896567,-0.136,s2,frock,proper|prop|crocker|proximate|crock|cross|proper|proper|prod|proper|proper|proper|problem|cross|proper,proper|cross|crock|prop|problem|prod|crocker|proximate,15,7 2 1 1 1 1 1 1,proper,7,! F R OH K,! f ɹ ɒ k,3.31,! P R OH . P AX,! p ɹ ɒ . p ə,4.88,27
29673,10878,BAB4,193767,0.541,s2,boot,root|root|root|moot|root|root|run|root|route|root|moot|root|root|root|root,root|moot|run,15,12 2 1,root,12,! B UW T,! b u t,4.43,! R UW T,! ɹ u t,4.13,10
29690,9052,SSN,422027,-4.418,s1,troop,look|truth|truth|truth|truth|truth|heap|truth|truth|truth|seat|truth|truth|truth,truth|look|heap|seat,14,11 1 1 1,truth,11,! T R UW P,! t ɹ u p,3.5,! T R UW TH,! t ɹ u θ,4.91,10
29692,8598,SSN,859437,-6.91,s1,at,bat|mat|mat|bat|at|mat|bat|bat|at|mad|at|bat|apt|bat,bat|mat|at|apt|mad,14,6 3 3 1 1,bat,6,! AE T,! æ t,6.69,! B AE T,! b æ t,4.3,7
29707,14240,SSN,236651,-6.717,s3,wisely,wise|wise|wise|wise|wise|wise|wiser|wisely|white|wise|wiser|wise|wise|wind,wise|wiser|white|wisely|wind,14,9 2 1 1 1,wise,9,! W AY Z . L IY,! w aɪ z . l i,3.63,! W AY Z,! w aɪ z,4.53,14
29709,13602,SSN,603316,-4.723,s3,casting,pastel|pasta|pastime|pastille|pastel|pasta|pastor|pasta|pasta|pasta|passive|pastel|pasta|pasty|pasta,pasta|pastel|pasty|pastor|passive|pastille|pastime,15,7 3 1 1 1 1 1,pasta,7,! K AA . S T IH NG,! k ɑ . s t ɪ ŋ,3.88,! P AE . S T AX,! p æ . s t ə,4.19,37
29718,10560,BAB4,390863,-1.328,s2,smoking,ll|smoky|smoky|smoky|smoky|smoky|smoky|smoky|past|smoke|smoking|key|smoky|parting|lucky|smoking,smoky|smoking|key|ll|lucky|past|smoke|parting,16,8 2 1 1 1 1 1 1,smoky,8,! S M OW . K IH NG,! s m oʊ . k ɪ ŋ,4.3,! S M OW . K IY,! s m oʊ . k i,3.47,17
29726,9600,SSN,489562,-4.285,s4,share,chair|chair|share|chair|chair|chair|chair|chair|chair|chair|chair|chair|chair|chair,chair|share,14,13 1,chair,13,! SH EA,! ʃ ɛə,4.92,! CH EA,! tʃ ɛə,4.66,10
29751,10400,BMN3,732400,-6.857,s2,skilled,steel|steal|distil|steal|posture|store|steal|store|steal|steal|explore|stool|explore|squirrel,steal|explore|store|squirrel|stool|distil|posture,14,6 2 2 1 1 1 1,steal,6,! S K IH L D,! s k ɪ l d,3.95,! S T IY L,! s t i l,4.34,27
29762,8320,SSN,726513,-6.158,s2,outing,county|county|county|counting|county|counting|county|bounty|counting|mountain|bounty|county|bounty|mounting,county|counting|bounty|mountain|mounting,14,6 3 3 1 1,county,6,! AW . T IH NG,! aʊ . t ɪ ŋ,3.41,! K AW N . T IY,! k aʊ n . t i,4.77,31
29817,10240,BMN3,156615,-6.852,s1,pavement,ages|paper|paper|pail|patient|able|paper|paver|paper|paper|payment|ape|paper|paper|able,paper|able|patient|pail|ages|paver|payment|ape,15,7 2 1 1 1 1 1 1,paper,7,! P EY V . M AX N T,! p eɪ v . m ə n t,3.68,! P EY . P AX,! p eɪ . p ə,4.94,31
29836,15748,BAB4,821085,-1.43,s3,distress,stress|stress|stress|stress|stress|stress|stress|stress|stress|stress|stress|stress|stressed|stress,stress|stressed,14,13 1,stress,13,D IH ! S T R EH S,d ɪ ! s t ɹ e s,3.82,! S T R EH S,! s t ɹ e s,4.38,14
29840,13180,BAB4,471575,-2.039,s3,farm,far|far|far|enjoy|enjoy|far|bar|coleslaw|far|far|farce|star|enjoy|far,far|enjoy|bar|coleslaw|farce|star,14,7 3 1 1 1 1,far,7,! F AA M,! f ɑ m,4.81,! F AA,! f ɑ,5.61,7
29870,10276,SSN,98011,-4.732,s1,training,train|train|trained|train|train|training|trading|change|same|trace|saving|train|tray|train,train|training|saving|trace|same|trading|trained|tray|change,14,6 1 1 1 1 1 1 1 1,train,6,! T R EY . N IH NG,! t ɹ eɪ . n ɪ ŋ,4.99,! T R EY N,! t ɹ eɪ n,4.98,14
29871,10560,SSN,453477,-5.073,s1,until,till|till|till|until|till|until|till|turn|till|till|still|till|till|tilt,till|until|turn|still|tilt,14,9 2 1 1 1,till,9,AH N ! T IH L,ʌ n ! t ɪ l,5.4,! T IH L,! t ɪ l,4.83,14
29913,14020,BAB4,138514,0.054,s4,scarf,scar|scar|scarf|scar|scarf|scarf|scar|scarf|scar|scar|scarf|scarf|scar|scarf,scar|scarf,14,7 7,scar,7,! S K AA F,! s k ɑ f,3.76,! S K AA,! s k ɑ,3.6,7
29928,8000,BMN3,307727,-7.744,s4,cow,cow|how|house|how|how|how|how|cow|pout|cow|cow|how|house|ow,how|cow|house|ow|pout,14,6 4 2 1 1,how,6,! K AW,! k aʊ,4.44,! HH AW,! h aʊ,6.33,10
29945,8342,BAB4,661855,-1.541,s1,cube,accuse|huge|huge|cue|huge|huge|huge|cue|pew|huge|hewn|accuse|huge|fall,huge|cue|accuse|hewn|pew|fall,14,7 2 2 1 1 1,huge,7,! K Y UW B,! k j u b,3.67,! HH Y UW JH,! h j u dʒ,5.32,20
29946,9280,BAB4,61493,-2.207,s1,glow,low|low|blow|blow|low|prior|low|bias|flow|blow|unknown|flow|low|low,low|blow|flow|unknown|prior|bias,14,6 3 2 1 1 1,low,6,! G L OW,! ɡ l oʊ,3.75,! L OW,! l oʊ,5.12,7
29994,13044,BMN3,846080,-4.292,s3,urban,early|early|urban|urban|early|urban|early|urban|early|urban|earth|early|urban|early|early,early|urban|earth,15,8 6 1,early,8,! ER . B AX N,! ɜ . b ə n,4.12,! ER . L IY,! ɜ . l i,5.32,27
30005,11458,BMN3,526144,-6.324,s3,breakthrough,breakthrough|grapefruit|grapefruit|breakthrough|grateful|grapefruit|breakthrough|breakthrough|grapefruit|grapefruit|breakthrough|grapefruit|break|brink,grapefruit|breakthrough|break|brink|grateful,14,6 5 1 1 1,grapefruit,6,! B R EY K . TH R UW,! b ɹ eɪ k . θ ɹ u,3.95,! G R EY P . F R UW T,! ɡ ɹ eɪ p . f ɹ u t,3.16,37
30019,9760,SSN,401717,-4.086,s1,leather,sweater|lever|flicker|pleasure|weather|letter|weather|weapon|lecture|weather|work|weather|weather|weather|liver,weather|work|sweater|flicker|lever|liver|letter|pleasure|lecture|weapon,15,6 1 1 1 1 1 1 1 1 1,weather,6,! L EH . DH AX,! l e . ð ə,4.16,! W EH . DH AX,! w e . ð ə,5.12,10
30032,11148,SSN,877141,-5.14,s3,glancing,glancing|classic|prancing|prancing|dancing|dancing|fancy|prancing|attic|prancing|dancing|prancing|prancing|glancing,prancing|dancing|glancing|attic|classic|fancy,14,6 3 2 1 1 1,prancing,6,! G L AA N . S IH NG,! ɡ l ɑ n . s ɪ ŋ,2.91,! P R AA N . S IH NG,! p ɹ ɑ n . s ɪ ŋ,2.73,20
30055,11200,SSN,785577,-5.678,s2,fruitful,truthful|treacle|treatment|tutorial|treatment|truthful|fruitful|fruitful|truthful|truthful|truthful|fruitful|truthful|truthful,truthful|fruitful|treatment|treacle|tutorial,14,7 3 2 1 1,truthful,7,! F R UW T . F AX L,! f ɹ u t . f ə l,3.08,! T R UW TH . F AX L,! t ɹ u θ . f ə l,3.33,20
30057,12160,SSN,883088,-5.909,s2,last,brass|grass|grass|last|glass|frost|glass|glass|class|glass|last|glass|vast|brass|glass|vase,glass|last|brass|grass|frost|vase|class|vast,16,6 2 2 2 1 1 1 1,glass,6,! L AA S T,! l ɑ s t,5.97,! G L AA S,! ɡ l ɑ s,4.92,14
30062,9920,SSN,626991,-5.144,s2,slope,swirl|smoke|slow|slow|swell|slow|throat|slow|spoke|slow|swell|slow|slow|slope,slow|swell|slope|spoke|throat|smoke|swirl,14,7 2 1 1 1 1 1,slow,7,! S L OW P,! s l oʊ p,3.88,! S L OW,! s l oʊ,4.81,7
